Location,Date,Time,T2M,T2M_MIN, ,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
Seattle,2019,37,0.170000,71.310000,-1.600000,-3.740000,1.570000,-6.130000,0.730000,0.620000,0.660000
Seattle,2019,38,0.200000,76.560000,-0.490000,-3.130000,2.070000,-4.110000,0.730000,0.620000,0.660000
Seattle,2019,39,6.630000,91.880000,-0.550000,-3.320000,0.940000,-1.790000,0.730000,0.620000,0.660000
Seattle,2019,40,4.600000,85.190000,-2.990000,-5.510000,-1.620000,-5.340000,0.730000,0.620000,0.660000
Seattle,2019,41,4.510000,86.690000,-2.350000,-6.870000,0.550000,-4.420000,0.730000,0.620000,0.660000
Seattle,2019,42,23.150000,98.750000,-0.740000,-3.950000,1.300000,-0.920000,0.740000,0.630000,0.700000
Seattle,2019,43,15.870000,98.690000,0.510000,0.370000,0.800000,0.350000,0.750000,0.660000,0.730000
Seattle,2019,44,3.310000,95.060000,-0.170000,-3.630000,2.150000,-0.970000,0.760000,0.670000,0.720000
Seattle,2019,45,6.210000,92.250000,0.550000,-2.310000,3.160000,-0.600000,0.770000,0.670000,0.710000
Seattle,2019,46,1.600000,92.500000,2.460000,0.510000,5.110000,1.360000,0.770000,0.670000,0.710000
Seattle,2019,47,6.030000,94.880000,2.320000,0.760000,3.450000,1.580000,0.770000,0.670000,0.710000
Seattle,2019,48,0.490000,89.440000,1.690000,-0.350000,5.430000,0.080000,0.780000,0.670000,0.700000
Seattle,2019,49,0.360000,90.560000,1.820000,-1.440000,5.850000,0.330000,0.780000,0.660000,0.700000
Seattle,2019,50,6.030000,96.810000,2.030000,-0.440000,4.900000,1.580000,0.780000,0.660000,0.700000
Seattle,2019,51,2.440000,92.190000,2.060000,0.090000,4.990000,0.900000,0.780000,0.670000,0.700000
Seattle,2019,52,0.020000,79.940000,2.190000,-1.350000,7.000000,-1.320000,0.780000,0.660000,0.700000
Seattle,2019,53,3.380000,90.310000,2.160000,0.480000,4.960000,0.800000,0.780000,0.660000,0.700000
Seattle,2019,54,3.410000,94.690000,2.500000,0.550000,5.450000,1.730000,0.780000,0.660000,0.700000
Seattle,2019,55,3.650000,90.060000,2.110000,0.380000,4.520000,0.630000,0.780000,0.670000,0.700000
Seattle,2019,56,0.020000,70.560000,0.730000,-2.280000,4.850000,-4.300000,0.780000,0.670000,0.700000
Seattle,2019,57,0.000000,67.250000,-1.080000,-3.740000,3.450000,-6.760000,0.780000,0.660000,0.690000
Seattle,2019,58,0.340000,73.940000,0.720000,-3.320000,6.520000,-3.630000,0.780000,0.660000,0.690000
Seattle,2019,59,0.010000,73.120000,2.570000,-1.980000,7.490000,-2.200000,0.780000,0.660000,0.690000
Seattle,2019,60,0.010000,77.000000,2.870000,-0.880000,8.120000,-1.040000,0.780000,0.660000,0.690000
Seattle,2019,61,0.000000,75.880000,1.950000,-1.780000,7.790000,-2.290000,0.770000,0.660000,0.680000
Seattle,2019,62,0.000000,61.060000,-0.570000,-3.990000,4.900000,-7.380000,0.770000,0.660000,0.680000
Seattle,2019,63,0.000000,62.560000,-0.550000,-3.900000,5.220000,-7.190000,0.770000,0.660000,0.680000
Seattle,2019,64,0.010000,70.440000,1.270000,-3.020000,7.570000,-3.880000,0.770000,0.660000,0.680000
Seattle,2019,65,2.690000,92.060000,0.940000,-2.000000,4.750000,-0.280000,0.770000,0.660000,0.690000
Seattle,2019,66,3.130000,95.690000,1.470000,-0.540000,4.510000,0.910000,0.770000,0.660000,0.690000
Seattle,2019,67,1.390000,83.880000,2.180000,-0.770000,5.300000,-0.420000,0.770000,0.660000,0.690000
Seattle,2019,68,0.040000,81.500000,2.250000,-0.810000,7.300000,-0.830000,0.770000,0.660000,0.680000
Seattle,2019,69,0.160000,73.000000,3.870000,-0.510000,10.140000,-1.030000,0.770000,0.660000,0.680000
Seattle,2019,70,6.270000,81.560000,3.920000,-0.670000,8.750000,0.900000,0.770000,0.650000,0.690000
Seattle,2019,71,10.390000,87.250000,4.060000,1.210000,8.400000,2.000000,0.770000,0.660000,0.720000
Seattle,2019,72,0.740000,85.690000,4.940000,0.710000,9.580000,2.680000,0.770000,0.660000,0.700000
Seattle,2019,73,0.030000,86.000000,5.730000,2.880000,9.640000,3.470000,0.770000,0.660000,0.690000
Seattle,2019,74,0.000000,75.440000,8.420000,4.340000,14.540000,3.940000,0.770000,0.660000,0.680000
Seattle,2019,75,0.000000,80.810000,8.510000,4.420000,14.080000,5.120000,0.770000,0.660000,0.680000
Seattle,2019,76,0.000000,82.440000,8.900000,2.950000,16.270000,5.680000,0.770000,0.650000,0.680000
Seattle,2019,77,0.000000,75.000000,10.870000,4.420000,18.220000,6.150000,0.770000,0.650000,0.670000
Seattle,2019,78,0.000000,68.810000,12.260000,5.180000,20.120000,6.120000,0.770000,0.640000,0.660000
Seattle,2019,79,0.000000,75.440000,11.980000,5.510000,20.510000,7.220000,0.760000,0.640000,0.660000
Seattle,2019,80,0.030000,84.310000,10.540000,7.030000,15.690000,7.730000,0.760000,0.630000,0.660000
Seattle,2019,81,1.020000,85.310000,10.080000,6.190000,16.090000,7.370000,0.760000,0.630000,0.660000
Seattle,2019,82,0.130000,81.440000,9.280000,4.860000,13.870000,5.950000,0.760000,0.630000,0.660000
Seattle,2019,83,0.250000,85.940000,8.560000,6.130000,12.330000,6.190000,0.750000,0.630000,0.660000
Seattle,2019,84,4.950000,88.500000,8.160000,4.480000,13.230000,6.240000,0.750000,0.630000,0.680000
Seattle,2019,85,1.010000,84.250000,7.800000,4.490000,12.940000,4.960000,0.760000,0.640000,0.670000
Seattle,2019,86,0.500000,80.250000,8.340000,2.900000,14.810000,4.650000,0.750000,0.630000,0.660000
Seattle,2019,87,0.170000,74.060000,11.050000,5.490000,16.900000,6.140000,0.750000,0.620000,0.660000
Seattle,2019,88,0.270000,75.060000,11.100000,6.070000,15.580000,6.580000,0.740000,0.620000,0.660000
Seattle,2019,89,0.090000,80.500000,10.860000,5.150000,16.800000,7.310000,0.740000,0.620000,0.660000
Seattle,2019,90,0.010000,77.250000,11.530000,6.770000,17.860000,7.180000,0.740000,0.620000,0.650000
Seattle,2019,91,0.000000,74.060000,12.130000,6.730000,18.800000,7.210000,0.730000,0.620000,0.650000
Seattle,2019,92,1.080000,76.060000,12.300000,7.960000,19.330000,7.650000,0.730000,0.620000,0.650000
Seattle,2019,93,1.920000,90.190000,10.120000,5.520000,13.210000,8.540000,0.730000,0.620000,0.660000
Seattle,2019,94,0.930000,77.250000,10.040000,4.360000,16.240000,5.480000,0.730000,0.620000,0.650000
Seattle,2019,95,8.670000,90.250000,9.530000,6.510000,12.590000,7.980000,0.730000,0.620000,0.680000
Seattle,2019,96,9.080000,85.560000,8.220000,6.370000,11.230000,5.870000,0.730000,0.630000,0.680000
Seattle,2019,97,7.290000,84.500000,8.770000,5.120000,13.300000,6.090000,0.740000,0.640000,0.690000
Seattle,2019,98,12.200000,93.940000,9.230000,5.980000,13.190000,8.270000,0.740000,0.650000,0.700000
Seattle,2019,99,5.510000,83.190000,9.080000,4.970000,14.300000,6.010000,0.750000,0.650000,0.690000
Seattle,2019,100,9.150000,95.190000,7.040000,4.260000,9.540000,6.370000,0.750000,0.650000,0.700000
Seattle,2019,101,9.920000,93.060000,8.260000,5.550000,12.320000,7.150000,0.760000,0.660000,0.700000
Seattle,2019,102,4.140000,90.000000,9.190000,6.580000,13.480000,7.510000,0.770000,0.660000,0.700000
Seattle,2019,103,7.460000,91.940000,6.900000,4.650000,9.510000,5.670000,0.770000,0.660000,0.700000
Seattle,2019,104,2.470000,92.120000,5.750000,4.120000,8.200000,4.530000,0.770000,0.660000,0.690000
Seattle,2019,105,0.220000,80.250000,7.960000,4.050000,12.690000,4.410000,0.770000,0.660000,0.670000
Seattle,2019,106,2.380000,88.120000,8.470000,3.690000,11.830000,6.520000,0.770000,0.650000,0.680000
Seattle,2019,107,1.060000,89.750000,10.120000,7.580000,13.380000,8.440000,0.770000,0.650000,0.680000
Seattle,2019,108,3.420000,89.880000,12.470000,8.580000,16.520000,10.760000,0.770000,0.650000,0.680000
Seattle,2019,109,6.780000,94.810000,11.120000,7.870000,13.330000,10.300000,0.770000,0.660000,0.700000
Seattle,2019,110,0.200000,82.690000,10.370000,5.950000,15.240000,7.250000,0.770000,0.650000,0.670000
Seattle,2019,111,0.070000,84.120000,9.530000,4.620000,15.190000,6.760000,0.760000,0.650000,0.670000
Seattle,2019,112,2.050000,90.000000,9.150000,5.060000,12.130000,7.560000,0.760000,0.640000,0.670000
Seattle,2019,113,0.650000,84.750000,11.440000,8.140000,15.060000,8.740000,0.760000,0.640000,0.670000
Seattle,2019,114,0.110000,79.380000,9.510000,4.890000,14.500000,5.780000,0.760000,0.640000,0.660000
Seattle,2019,115,0.000000,79.940000,9.860000,4.460000,16.230000,6.150000,0.750000,0.630000,0.660000
Seattle,2019,116,0.020000,71.190000,11.260000,5.810000,16.320000,5.770000,0.750000,0.630000,0.660000
Seattle,2019,117,1.140000,73.000000,7.900000,4.330000,11.920000,2.760000,0.750000,0.620000,0.660000
Seattle,2019,118,0.060000,75.880000,8.380000,2.680000,13.940000,3.860000,0.740000,0.620000,0.660000
Seattle,2019,119,0.080000,71.310000,10.310000,4.690000,15.870000,4.700000,0.740000,0.620000,0.650000
Seattle,2019,120,0.000000,64.250000,11.440000,4.870000,16.810000,4.240000,0.730000,0.620000,0.640000
Seattle,2019,121,0.010000,74.500000,10.210000,4.870000,15.800000,5.330000,0.730000,0.610000,0.640000
Seattle,2019,122,0.070000,80.940000,9.860000,6.260000,13.880000,6.500000,0.730000,0.610000,0.640000
Seattle,2019,123,0.120000,82.560000,10.630000,6.380000,16.370000,7.420000,0.730000,0.610000,0.640000
Seattle,2019,124,0.000000,79.060000,12.280000,5.920000,18.390000,8.400000,0.730000,0.610000,0.640000
Seattle,2019,125,0.000000,75.620000,13.730000,8.980000,18.810000,9.220000,0.720000,0.600000,0.630000
Seattle,2019,126,0.000000,77.620000,14.770000,8.200000,21.560000,10.440000,0.720000,0.600000,0.630000
Seattle,2019,127,0.000000,71.690000,15.440000,9.370000,20.880000,9.960000,0.710000,0.590000,0.620000
Seattle,2019,128,0.000000,74.310000,15.300000,10.120000,20.480000,10.460000,0.710000,0.590000,0.620000
Seattle,2019,129,0.000000,69.880000,17.320000,10.640000,24.240000,11.100000,0.700000,0.590000,0.620000
Seattle,2019,130,0.030000,51.880000,20.380000,11.830000,28.300000,9.390000,0.700000,0.580000,0.610000
Seattle,2019,131,0.040000,67.190000,18.800000,11.920000,24.870000,12.020000,0.700000,0.570000,0.600000
Seattle,2019,132,0.030000,81.250000,13.260000,9.270000,19.090000,9.740000,0.690000,0.570000,0.610000
Seattle,2019,133,0.010000,74.880000,12.020000,7.520000,16.150000,7.360000,0.690000,0.570000,0.610000
Seattle,2019,134,4.670000,90.310000,11.550000,8.740000,14.300000,9.980000,0.690000,0.580000,0.620000
Seattle,2019,135,1.840000,82.120000,13.770000,6.710000,20.050000,10.490000,0.690000,0.580000,0.620000
Seattle,2019,136,7.580000,90.250000,13.800000,10.190000,17.770000,12.160000,0.690000,0.590000,0.640000
Seattle,2019,137,3.240000,80.750000,12.250000,8.980000,16.890000,8.660000,0.690000,0.590000,0.630000
Seattle,2019,138,0.180000,74.940000,14.010000,7.580000,20.010000,9.140000,0.680000,0.590000,0.620000
Seattle,2019,139,1.920000,75.250000,15.300000,11.190000,19.670000,10.660000,0.680000,0.580000,0.620000
Seattle,2019,140,4.280000,89.440000,11.730000,9.080000,13.790000,9.980000,0.680000,0.580000,0.620000
Seattle,2019,141,1.470000,86.060000,12.450000,8.600000,17.240000,10.010000,0.680000,0.580000,0.620000
Seattle,2019,142,0.170000,74.620000,16.380000,9.520000,21.260000,11.560000,0.680000,0.580000,0.610000
Seattle,2019,143,0.080000,72.120000,17.870000,10.840000,23.630000,12.280000,0.670000,0.570000,0.600000
Seattle,2019,144,0.870000,87.000000,12.310000,10.230000,14.460000,10.140000,0.670000,0.560000,0.600000
Seattle,2019,145,7.670000,92.120000,10.760000,8.880000,12.250000,9.530000,0.670000,0.570000,0.640000
Seattle,2019,146,0.700000,82.060000,14.270000,8.410000,20.570000,10.980000,0.670000,0.580000,0.610000
Seattle,2019,147,0.050000,73.120000,18.300000,11.920000,24.530000,12.870000,0.670000,0.570000,0.600000
Seattle,2019,148,0.060000,80.560000,15.290000,10.330000,21.440000,11.620000,0.660000,0.560000,0.590000
Seattle,2019,149,0.130000,83.690000,14.690000,10.400000,19.740000,11.800000,0.660000,0.560000,0.590000
Seattle,2019,150,0.140000,79.060000,17.550000,12.220000,22.730000,13.670000,0.660000,0.550000,0.590000
Seattle,2019,151,0.040000,73.620000,18.540000,11.220000,24.530000,13.330000,0.660000,0.550000,0.590000
Seattle,2019,152,0.040000,77.060000,17.800000,11.270000,23.600000,13.380000,0.650000,0.550000,0.590000
Seattle,2019,153,0.030000,79.190000,17.080000,12.080000,23.050000,13.020000,0.650000,0.550000,0.580000
Seattle,2019,154,0.170000,79.750000,14.080000,10.550000,17.490000,10.480000,0.640000,0.540000,0.580000
Seattle,2019,155,0.020000,75.500000,14.570000,10.040000,19.560000,9.910000,0.640000,0.540000,0.580000
Seattle,2019,156,0.410000,81.810000,12.870000,9.280000,16.490000,9.670000,0.630000,0.540000,0.570000
Seattle,2019,157,2.290000,79.880000,11.640000,7.750000,15.470000,8.010000,0.630000,0.540000,0.580000
Seattle,2019,158,5.050000,88.500000,10.480000,7.190000,13.800000,8.580000,0.630000,0.540000,0.590000
Seattle,2019,159,0.220000,81.940000,12.700000,7.150000,17.420000,9.410000,0.630000,0.540000,0.580000
Seattle,2019,160,0.010000,78.810000,14.170000,8.400000,18.840000,10.210000,0.620000,0.540000,0.570000
Seattle,2019,161,0.000000,74.500000,16.580000,9.950000,22.400000,11.580000,0.620000,0.530000,0.560000
Seattle,2019,162,0.000000,75.500000,19.150000,12.750000,25.290000,14.360000,0.620000,0.520000,0.550000
Seattle,2019,163,0.000000,62.120000,23.030000,15.150000,32.040000,14.750000,0.610000,0.520000,0.550000
Seattle,2019,164,0.200000,72.880000,19.660000,13.330000,25.050000,14.320000,0.610000,0.510000,0.540000
Seattle,2019,165,0.310000,81.440000,15.190000,11.860000,18.990000,11.910000,0.600000,0.510000,0.550000
Seattle,2019,166,0.080000,78.380000,17.040000,11.840000,22.590000,12.980000,0.600000,0.510000,0.540000
Seattle,2019,167,0.030000,78.000000,17.880000,11.680000,24.090000,13.680000,0.590000,0.500000,0.540000
Seattle,2019,168,0.580000,80.380000,18.510000,12.710000,23.790000,14.760000,0.590000,0.500000,0.540000
Seattle,2019,169,2.350000,85.000000,15.950000,11.700000,21.080000,13.260000,0.590000,0.500000,0.540000
Seattle,2019,170,1.440000,77.120000,13.330000,8.760000,16.900000,9.150000,0.590000,0.500000,0.540000
Seattle,2019,171,3.180000,75.380000,14.090000,9.220000,18.830000,9.390000,0.590000,0.500000,0.550000
Seattle,2019,172,0.170000,82.310000,14.700000,9.550000,19.530000,11.440000,0.590000,0.500000,0.530000
Seattle,2019,173,0.130000,83.560000,14.200000,11.260000,17.990000,11.330000,0.580000,0.490000,0.530000
Seattle,2019,174,0.840000,81.120000,14.150000,10.860000,17.480000,10.790000,0.580000,0.490000,0.530000
Seattle,2019,175,0.480000,75.440000,14.740000,10.660000,18.480000,10.190000,0.580000,0.490000,0.530000
Seattle,2019,176,0.270000,73.620000,16.020000,9.400000,20.790000,10.960000,0.570000,0.490000,0.520000
Seattle,2019,177,2.660000,78.880000,16.300000,11.170000,22.070000,12.390000,0.570000,0.480000,0.530000
Seattle,2019,178,3.850000,83.000000,14.940000,12.050000,18.750000,11.800000,0.560000,0.480000,0.530000
Seattle,2019,179,0.690000,80.000000,15.460000,10.650000,19.590000,11.730000,0.560000,0.480000,0.520000
Seattle,2019,180,0.060000,77.750000,16.660000,11.770000,21.640000,12.440000,0.560000,0.480000,0.520000
Seattle,2019,181,0.010000,72.810000,17.800000,10.890000,23.390000,12.370000,0.550000,0.480000,0.510000
Seattle,2019,182,0.130000,71.310000,19.250000,12.390000,25.210000,13.260000,0.550000,0.470000,0.500000
Seattle,2019,183,2.900000,90.690000,14.830000,13.260000,16.490000,13.300000,0.550000,0.460000,0.510000
Seattle,2019,184,0.340000,82.620000,16.590000,12.090000,20.510000,13.420000,0.550000,0.470000,0.510000
Seattle,2019,185,0.500000,84.190000,17.120000,13.490000,21.150000,14.270000,0.550000,0.460000,0.500000
Seattle,2019,186,0.230000,85.560000,15.300000,12.150000,17.840000,12.760000,0.540000,0.460000,0.500000
Seattle,2019,187,0.130000,77.690000,16.230000,10.870000,19.900000,12.050000,0.540000,0.460000,0.500000
Seattle,2019,188,1.060000,84.620000,16.050000,12.500000,18.660000,13.360000,0.540000,0.460000,0.500000
Seattle,2019,189,0.330000,76.120000,17.940000,12.850000,21.800000,13.370000,0.530000,0.460000,0.500000
Seattle,2019,190,4.010000,77.500000,18.470000,14.120000,22.900000,14.150000,0.530000,0.450000,0.500000
Seattle,2019,191,4.960000,92.190000,17.510000,14.900000,20.820000,16.190000,0.530000,0.470000,0.540000
Seattle,2019,192,0.390000,79.250000,18.460000,13.560000,21.810000,14.580000,0.530000,0.470000,0.510000
Seattle,2019,193,0.020000,73.250000,19.730000,14.890000,24.490000,14.480000,0.530000,0.460000,0.490000
Seattle,2019,194,0.360000,78.880000,18.940000,15.080000,22.800000,15.010000,0.520000,0.450000,0.490000
Seattle,2019,195,0.270000,80.690000,17.950000,13.970000,22.210000,14.370000,0.520000,0.450000,0.480000
Seattle,2019,196,1.610000,82.060000,18.100000,14.820000,21.000000,14.820000,0.520000,0.450000,0.480000
Seattle,2019,197,0.680000,81.690000,18.800000,14.870000,22.820000,15.330000,0.520000,0.450000,0.480000
Seattle,2019,198,3.500000,87.690000,16.730000,13.770000,19.190000,14.620000,0.520000,0.450000,0.490000
Seattle,2019,199,1.620000,78.880000,16.080000,11.200000,20.170000,11.940000,0.520000,0.450000,0.480000
Seattle,2019,200,0.340000,75.750000,15.830000,12.000000,20.140000,11.120000,0.510000,0.440000,0.480000
Seattle,2019,201,0.010000,74.560000,17.340000,10.280000,23.510000,12.310000,0.510000,0.430000,0.460000
Seattle,2019,202,0.000000,62.500000,20.860000,12.180000,29.480000,12.480000,0.500000,0.420000,0.450000
Seattle,2019,203,0.000000,69.620000,19.940000,13.980000,25.130000,13.770000,0.500000,0.420000,0.450000
Seattle,2019,204,0.360000,82.250000,17.650000,13.020000,21.530000,14.470000,0.490000,0.410000,0.450000
Seattle,2019,205,0.040000,75.690000,16.900000,11.260000,22.720000,12.120000,0.490000,0.410000,0.450000
Seattle,2019,206,0.000000,70.310000,18.540000,11.330000,25.260000,12.290000,0.480000,0.410000,0.440000
Seattle,2019,207,0.020000,72.940000,20.750000,13.670000,27.750000,15.050000,0.480000,0.410000,0.430000
Seattle,2019,208,0.240000,76.810000,18.810000,14.260000,23.060000,14.230000,0.480000,0.400000,0.420000
Seattle,2019,209,0.010000,76.750000,18.440000,11.980000,24.370000,13.800000,0.480000,0.400000,0.420000
Seattle,2019,210,0.000000,71.000000,20.070000,13.820000,26.130000,14.020000,0.470000,0.390000,0.410000
Seattle,2019,211,0.130000,72.060000,18.540000,13.480000,23.660000,13.020000,0.470000,0.390000,0.410000
Seattle,2019,212,0.010000,69.560000,20.620000,14.580000,25.990000,14.400000,0.460000,0.390000,0.410000
Seattle,2019,213,0.860000,77.380000,20.260000,14.310000,26.180000,15.740000,0.460000,0.380000,0.410000
Seattle,2019,214,2.620000,78.190000,20.270000,16.750000,24.990000,16.050000,0.460000,0.380000,0.430000
Seattle,2019,215,0.020000,72.380000,18.940000,13.590000,24.220000,13.360000,0.450000,0.380000,0.410000
Seattle,2019,216,0.000000,62.440000,21.190000,14.500000,28.050000,13.170000,0.450000,0.380000,0.390000
Seattle,2019,217,0.000000,60.120000,22.990000,16.020000,29.350000,14.390000,0.450000,0.380000,0.380000
Seattle,2019,218,0.020000,65.880000,22.120000,15.740000,28.250000,14.920000,0.450000,0.370000,0.380000
Seattle,2019,219,0.070000,77.190000,20.110000,14.150000,27.070000,15.510000,0.440000,0.370000,0.380000
Seattle,2019,220,0.290000,79.500000,17.830000,13.850000,23.300000,13.900000,0.440000,0.370000,0.380000
Seattle,2019,221,1.230000,75.560000,18.550000,14.640000,23.320000,13.760000,0.440000,0.370000,0.380000
Seattle,2019,222,7.000000,84.880000,18.490000,15.230000,22.500000,15.690000,0.440000,0.380000,0.470000
Seattle,2019,223,1.750000,85.190000,17.380000,14.190000,21.010000,14.660000,0.440000,0.380000,0.430000
Seattle,2019,224,0.030000,72.380000,19.250000,12.840000,24.590000,13.670000,0.440000,0.380000,0.410000
Seattle,2019,225,0.000000,65.120000,21.080000,13.980000,27.250000,13.560000,0.430000,0.380000,0.390000
Seattle,2019,226,0.000000,67.620000,21.420000,14.940000,27.300000,14.600000,0.430000,0.370000,0.380000
Seattle,2019,227,0.010000,70.000000,21.210000,15.270000,26.710000,15.060000,0.430000,0.370000,0.380000
Seattle,2019,228,0.260000,79.690000,17.880000,13.690000,22.120000,14.050000,0.420000,0.360000,0.380000
Seattle,2019,229,0.280000,80.810000,17.920000,14.590000,21.690000,14.340000,0.420000,0.360000,0.380000
Seattle,2019,230,0.300000,78.560000,18.350000,14.400000,23.710000,14.240000,0.420000,0.360000,0.380000
Seattle,2019,231,0.290000,78.940000,17.380000,13.870000,23.140000,13.300000,0.420000,0.360000,0.380000
Seattle,2019,232,0.040000,72.190000,18.400000,12.260000,25.480000,12.620000,0.410000,0.360000,0.370000
Seattle,2019,233,4.610000,90.000000,16.920000,14.100000,19.890000,15.220000,0.410000,0.360000,0.400000
Seattle,2019,234,0.750000,73.440000,17.790000,13.210000,22.960000,12.450000,0.410000,0.360000,0.410000
Seattle,2019,235,0.010000,73.620000,16.650000,12.230000,19.760000,11.690000,0.410000,0.360000,0.380000
Seattle,2019,236,0.220000,75.500000,17.920000,12.880000,22.460000,13.240000,0.410000,0.360000,0.380000
Seattle,2019,237,0.140000,73.810000,17.670000,13.260000,23.230000,12.440000,0.410000,0.360000,0.380000
Seattle,2019,238,0.000000,70.560000,16.940000,10.800000,23.080000,10.940000,0.410000,0.350000,0.360000
Seattle,2019,239,0.000000,61.250000,20.370000,12.860000,28.990000,11.730000,0.410000,0.340000,0.350000
Seattle,2019,240,0.010000,60.750000,22.280000,16.590000,29.260000,13.830000,0.400000,0.340000,0.340000
Seattle,2019,241,1.550000,79.250000,18.910000,14.510000,23.330000,14.990000,0.400000,0.340000,0.340000
Seattle,2019,242,0.360000,80.190000,18.870000,15.200000,24.250000,14.990000,0.400000,0.340000,0.360000
Seattle,2019,243,0.080000,77.380000,19.560000,15.290000,24.790000,15.120000,0.400000,0.340000,0.350000
Seattle,2019,244,0.150000,75.060000,19.630000,14.750000,24.920000,14.640000,0.400000,0.340000,0.350000
Seattle,2019,245,0.000000,72.310000,19.600000,14.260000,24.880000,14.080000,0.390000,0.340000,0.340000
Seattle,2019,246,0.010000,69.440000,20.020000,13.800000,26.600000,13.630000,0.390000,0.340000,0.340000
Seattle,2019,247,0.130000,77.620000,18.260000,14.000000,24.000000,13.860000,0.390000,0.340000,0.340000
Seattle,2019,248,0.020000,69.250000,20.160000,14.050000,27.530000,13.720000,0.380000,0.330000,0.340000
Seattle,2019,249,0.040000,73.060000,19.820000,14.330000,26.190000,14.280000,0.380000,0.330000,0.330000
Seattle,2019,250,5.030000,87.250000,16.360000,13.980000,20.620000,14.090000,0.380000,0.330000,0.350000
